Date,AdjClose,LogReturn
04/08/1995,1957.099976,0.003224203
07/08/1995,1950.400024,-0.003429281
08/08/1995,1954.699951,0.002202212
09/08/1995,1943.699951,-0.005643356
10/08/1995,1949.199951,0.002825659
11/08/1995,1946.199951,-0.001540279
16/08/1995,1970.400024,0.012357852
17/08/1995,1967.300049,-0.001574511
18/08/1995,1971.599976,0.002183314
21/08/1995,1984.400024,0.00647123
22/08/1995,1963.300049,-0.010689858
23/08/1995,1957.400024,-0.003009681
24/08/1995,1939.199951,-0.009341583
25/08/1995,1937.800049,-0.000722158
28/08/1995,1890.099976,-0.024923609
29/08/1995,1899.5,0.004960969
30/08/1995,1921.400024,0.011463406
31/08/1995,1883.400024,-0.019975433
01/09/1995,1881.699951,-0.000903069
04/09/1995,1900.5,0.009941412
05/09/1995,1902.5,0.001051801
06/09/1995,1884.800049,-0.00934707
07/09/1995,1861.699951,-0.012331718
08/09/1995,1854.900024,-0.003659223
11/09/1995,1869.699951,0.007947165
12/09/1995,1873.599976,0.002083737
13/09/1995,1898.199951,0.013044342
14/09/1995,1892.400024,-0.003060165
15/09/1995,1880,-0.006574101
18/09/1995,1871.699951,-0.004424694
19/09/1995,1882.5,0.005753598
20/09/1995,1863.800049,-0.00998324
21/09/1995,1853.900024,-0.005325899
22/09/1995,1790.699951,-0.034684964
25/09/1995,1800.599976,0.005513352
26/09/1995,1816.300049,0.008681563
27/09/1995,1791.800049,-0.013580763
28/09/1995,1767.599976,-0.013598048
29/09/1995,1788.400024,0.011698699
02/10/1995,1780.699951,-0.004314861
03/10/1995,1800.699951,0.011168933
04/10/1995,1803.900024,0.00177555
05/10/1995,1800.300049,-0.001997656
06/10/1995,1809.599976,0.005152468
09/10/1995,1785.699951,-0.013295345
10/10/1995,1778,-0.004321331
11/10/1995,1794.400024,0.009181581
12/10/1995,1803.800049,0.00522486
13/10/1995,1817,0.007291212
16/10/1995,1790.5,-0.014691879
17/10/1995,1779.699951,-0.006050127
18/10/1995,1770.699951,-0.005069862
19/10/1995,1757.300049,-0.007596353
20/10/1995,1740.699951,-0.009491265
